Depth,Dip,Azimuth,Type
2638.59,71.93,272.75,Frac_c_m
2639.79,80.73,280.11,Frac_c_m
2640.23,76.1,278.07,Frac_m_l
2641.9,53.04,287.3,Frac_c_m
2644.55,14.27,53.17,Frac_c_m
2644.58,24.94,187.93,Frac_c_m
2646.64,28.95,331.13,Frac_c_m
2648.88,34.37,125.86,Frac_c_l
2651.24,75.98,307.8,Frac_c_s
2652.21,80.1,281.07,Frac_m_m
2652.41,70.07,91.55,Frac_c_m
2653.33,75.57,261.3,Frac_c_s
2653.81,63.79,260.82,Frac_c_l
2653.84,73.57,263.1,Frac_c_l
2654.72,64.53,353.5,Frac_c_m
2655.2,81.13,264.24,Frac_c_s
2657.0,76.27,280.01,Frac_c_m
2657.71,77.37,286.77,Frac_c_m
2658.56,52.49,88.56,Frac_c_l
2658.6,49.49,83.3,Frac_c_l
2660.92,78.02,287.04,Frac_c_m
2661.33,64.33,262.5,Frac_c_m
2663.68,73.88,67.68,Frac_c_m
2667.6,73.02,70.79,Frac_c_m
2667.83,66.63,88.87,Frac_c_m
2667.95,59.52,86.13,Frac_c_m
2668.13,71.45,270.31,Frac_c_m
2668.67,68.55,250.79,Frac_c_m
2669.44,74.09,315.13,Frac_c_m
2672.09,68.72,37.11,Frac_c_m
2673.56,77.73,338.6,Frac_c_m
2673.85,68.78,219.69,Frac_c_m
2674.62,77.65,270.94,Frac_c_s
2674.72,67.71,270.32,Frac_c_m
2676.34,80.24,158.21,Frac_c_m
2677.36,72.75,164.79,Frac_c_l
2686.51,76.28,129.83,Frac_c_s
2686.6,74.66,46.86,Frac_c_m
2687.67,82.82,176.57,Frac_c_m
2690.59,71.23,2.43,Frac_c_s
2691.82,68.14,348.8,Frac_c_m
2692.73,66.22,339.96,Frac_c_m
2693.98,58.67,345.04,Frac_c_m
2694.31,62.65,355.43,Frac_c_m
2696.09,57.53,349.15,Frac_c_m
2698.06,68.57,39.03,Frac_c_m
2700.15,49.15,255.26,Frac_c_m
2700.45,71.16,251.02,Frac_c_m
2702.19,71.41,74.53,Frac_c_m
2703.55,64.67,66.81,Frac_c_m
2703.7,43.16,14.5,Frac_c_m
2704.15,67.99,58.64,Frac_c_m
2704.39,62.09,69.23,Frac_c_s
2705.34,78.61,76.07,Frac_c_s
2705.45,79.09,76.08,Frac_c_s
2706.07,74.68,83.11,Frac_c_m
2707.37,14.33,324.04,Frac_c_m
2707.41,71.07,259.51,Frac_c_m
2707.44,19.36,182.17,Frac_c_m
2708.22,31.57,248.97,Frac_c_m
2708.25,68.73,180.49,Frac_c_s
2711.09,71.36,125.55,Frac_m_s
2718.59,80.66,94.61,Frac_c_m
2720.76,76.28,351.95,Frac_m_m
2720.79,78.16,170.37,Frac_c_m
2729.01,38.64,243.28,Frac_c_m
2729.05,47.55,160.92,Frac_r_l
2729.12,31.62,169.58,Frac_r_m
2729.13,56.71,255.73,Frac_c_m
2729.25,21.67,37.93,Frac_r_m
2729.53,82.98,315.92,Frac_c_m
2730.21,64.65,171.63,Frac_m_m
2731.08,78.32,12.94,Frac_c_m
2732.03,39.7,345.82,Frac_c_m
2732.9,85.18,347.56,Frac_c_m
2736.19,80.13,266.6,Frac_r_s
2737.26,32.44,231.15,Frac_c_m
2738.51,24.05,249.67,Frac_c_m
2739.96,62.08,123.71,Frac_m_m
2740.18,71.98,265.09,Frac_c_l
2740.52,41.85,71.21,Frac_r_l
2740.92,39.06,255.87,Frac_c_l
2741.63,36.82,273.56,Frac_c_l
2742.62,63.4,262.54,Frac_c_s
2743.27,40.13,81.2,Frac_m_l
2744.17,85.78,158.39,Frac_c_m
2744.36,41.37,32.75,Frac_c_s
2745.2,42.77,77.13,Frac_c_l
2745.42,41.42,75.46,Frac_c_l
2746.47,48.63,258.19,Frac_m_l
2748.03,80.93,195.74,Frac_c_m
2750.08,68.98,252.17,Frac_c_m
2750.43,62.34,278.27,Frac_c_m
2751.33,77.36,353.99,Frac_c_m
2752.84,60.68,329.61,Frac_c_m
2753.12,65.34,348.45,Frac_c_m
2756.31,80.25,195.25,Frac_c_s
2756.77,29.15,126.03,Frac_c_m
2757.15,62.84,86.81,Frac_c_s
2757.96,69.48,79.62,Frac_c_m
2758.12,65.95,72.11,Frac_c_m
2759.46,75.07,134.39,Frac_c_s
2760.26,61.82,62.68,Frac_c_m
2765.31,69.45,1.72,Frac_c_s
2765.55,69.01,344.06,Frac_c_m
2766.69,78.2,11.24,Frac_c_m
2767.63,59.96,21.82,Frac_c_m
2768.54,70.92,22.77,Frac_c_m
2773.98,54.42,2.56,Frac_c_m
2774.73,61.72,356.42,Frac_c_m
2777.47,35.34,214.65,Frac_c_s
2778.54,74.39,172.38,Frac_c_s
2781.25,69.47,281.94,Frac_c_m
2781.93,68.5,335.84,Frac_c_m
2783.19,80.33,15.16,Frac_c_m
2786.64,54.65,355.33,Frac_c_m
2787.75,59.93,347.41,Frac_c_m
2792.91,41.54,112.67,Frac_c_m
2793.31,50.62,83.19,Frac_c_l
2811.47,16.75,258.91,Frac_c_m
2813.84,77.82,2.37,Frac_c_s
2822.39,70.94,166.54,Frac_c_s
2822.46,67.19,173.18,Frac_c_s
2824.5,52.52,58.94,Frac_m_m
2832.64,26.93,50.55,Frac_c_m
2833.09,80.09,6.31,Frac_c_m
2833.67,29.53,64.91,Frac_c_m
2833.92,53.33,87.48,Frac_c_m
2836.19,56.51,226.63,Frac_c_m
2836.23,59.65,40.26,Frac_c_m
2837.67,70.27,67.24,Frac_c_m
2842.06,67.38,332.03,Frac_c_m
2849.23,29.12,250.54,Frac_c_s
2853.21,75.07,50.55,Frac_c_s
2854.52,82.86,16.75,Frac_c_s
2855.83,78.64,19.84,Frac_c_s
2863.87,76.91,22.6,Frac_c_m
2865.58,75.34,306.2,Frac_c_m
2867.92,44.6,337.8,Frac_c_s
2868.13,68.08,328.21,Frac_c_s
2873.77,44.94,56.09,Frac_c_s
2874.06,46.63,318.03,Frac_c_m
2875.77,64.43,115.19,Frac_r_m
2877.6,37.42,100.68,Frac_c_m
2878.95,33.13,305.28,Frac_c_m
2878.99,24.87,308.09,Frac_c_l
2879.44,29.25,353.35,Frac_c_m
2880.87,15.2,4.84,Frac_c_s
2884.69,58.66,330.66,Frac_c_m
2890.94,51.66,286.89,Frac_c_m
2895.07,19.62,144.15,Frac_r_m
