Depth,Vugs
m,%
2635.00,0
2635.10,0
2635.20,0
2635.30,0
2635.40,0
2635.50,0
2635.60,0
2635.70,0
2635.80,0
2635.90,0
2636.00,0
2636.10,0
2636.20,0
2636.30,0
2636.40,0
2636.50,0
2636.60,0
2636.70,0
2636.80,0
2636.90,0
2637.00,0
2637.10,0
2637.20,0
2637.30,0
2637.40,0
2637.50,0
2637.60,0
2637.70,0
2637.80,0
2637.90,0
2638.00,0
2638.10,0
2638.20,0
2638.30,0
2638.40,0
2638.50,0
2638.60,0
2638.70,0
2638.80,0
2638.90,0
2639.00,0
2639.10,0
2639.20,0
2639.30,0
2639.40,0
2639.50,0
2639.60,0
2639.70,0
2639.80,0
2639.90,0
2640.00,0
2640.10,0
2640.20,0
2640.30,0
2640.40,0
2640.50,0
2640.60,0
2640.70,0
2640.80,0
2640.90,0
2641.00,0
2641.10,0
2641.20,0
2641.30,0
2641.40,0
2641.50,0
2641.60,0
2641.70,0
2641.80,0
2641.90,0
2642.00,0
2642.10,0
2642.20,0
2642.30,0
2642.40,0
2642.50,0
2642.60,0
2642.70,0
2642.80,0
2642.90,0
2643.00,0
2643.10,0
2643.20,0
2643.30,0
2643.40,0
2643.50,0
2643.60,0
2643.70,0
2643.80,0
2643.90,0
2644.00,0
2644.10,0
2644.20,0
2644.30,0
2644.40,0
2644.50,0
2644.60,0
2644.70,0
2644.80,0
2644.90,0
2645.00,0
2645.10,0
2645.20,0
2645.30,0
2645.40,0
2645.50,0
2645.60,0
2645.70,0
2645.80,0
2645.90,0
2646.00,0
2646.10,0
2646.20,0
2646.30,0
2646.40,0
2646.50,0
2646.60,0
2646.70,0
2646.80,0
2646.90,0
2647.00,0
2647.10,0
2647.20,0
2647.30,0
2647.40,0
2647.50,0
2647.60,0
2647.70,0
2647.80,0
2647.90,0
2648.00,0
2648.10,0
2648.20,0
2648.30,0
2648.40,0
2648.50,0
2648.60,0
2648.70,0
2648.80,0
2648.90,0
2649.00,0
2649.10,0
2649.20,0
2649.30,0
2649.40,0
2649.50,0
2649.60,0
2649.70,0
2649.80,0
2649.90,0
2650.00,0
2650.10,0
2650.20,0
2650.30,0
2650.40,0
2650.50,0
2650.60,0
2650.70,0
2650.80,0
2650.90,0
2651.00,0
2651.10,0
2651.20,0
2651.30,0
2651.40,0
2651.50,0
2651.60,0
2651.70,0
2651.80,0
2651.90,0
2652.00,0
